,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4825,Food Corporation of India,Government ,4.2,155 Reviews,59 years old,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
4826,Claritus Management Consulting,IT Services & Consulting ,4.6,155 Reviews,16 years old,"Work Satisfaction, Company Culture, Salary & Benefits",
4827,Godawari Power & Ispat,Iron & Steel ,4.3,155 Reviews,25 years old,"Job Security, Work Life Balance, Company Culture",
4828,Integra Global Solutions,IT Services & Consulting ,3.4,155 Reviews,20 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4829,Chitkara University,Education & Training ,4.2,155 Reviews,16 years old,"Job Security, Company Culture, Work Life Balance",
4830,Tekskills,IT Services & Consulting ,4.5,155 Reviews,21 years old,"Job Security, Work Life Balance, Company Culture",
4831,GE Capital,Financial Services ,4.5,155 Reviews,92 years old,"Company Culture, Work Life Balance, Job Security",
4832,Crown Solutions,IT Services & Consulting ,3.5,155 Reviews,22 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4833,Hotel Park Plaza,Hospitality ,4.4,155 Reviews,38 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
4834,Pathfinder Business Analysis,Management Consulting ,3.5,155 Reviews,16 years old,"Promotions / Appraisal, Skill Development / Learning, Job Security",
4835,Galva Decoparts,Chemicals ,4.0,155 Reviews,26 years old,"Job Security, Salary & Benefits, Promotions / Appraisal",
4836,Ga Digital Web Word,IT Services & Consulting ,3.5,155 Reviews,21 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4837,Manappuram Home Finance,Financial Services ,3.9,155 Reviews,14 years old,Skill Development / Learning,Promotions / Appraisal
4838,Bill Forge,Auto Components ,3.8,155 Reviews,39 years old,"Promotions / Appraisal, Job Security",
4839,Sears IT & Management Services India,IT Services & Consulting ,3.6,155 Reviews,15 years old,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
4840,CQRA,Engineering & Construction ,4.3,155 Reviews,20 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
4841,Man Industries,Building Material ,3.8,155 Reviews,36 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
