"addressCity","addressState","price","statusType","statusText"
"Los Angeles","CA","$1,675,000","FOR_SALE","House for sale"
"Los Angeles","CA","$575,000","FOR_SALE","House for sale"
"Los Angeles","CA","$849,999","FOR_SALE","House for sale"
"Wilmington","CA","$759,900","FOR_SALE","House for sale"
"Harbor City","CA","$549,950","FOR_SALE","Condo for sale"
"San Pedro","CA","$649,900","FOR_SALE","Condo for sale"
"San Pedro","CA","$1,000,000","FOR_SALE","Multi-family home for sale"
"San Pedro","CA","$945,000","FOR_SALE","Multi-family home for sale"
"San Pedro","CA","$425,000","FOR_SALE","Condo for sale"
"San Pedro","CA","$789,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$695,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$985,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$3,995,000","FOR_SALE","House for sale"
"Los Angeles","CA","$820,000","FOR_SALE","House for sale"
"San Pedro","CA","$1,875,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$3,095,000","FOR_SALE","House for sale"
"Los Angeles","CA","$500,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,049,000","FOR_SALE","House for sale"
"Los Angeles","CA","$775,000","FOR_SALE","House for sale"
"Los Angeles","CA","$725,000","FOR_SALE","House for sale"
"Torrance","CA","$1,335,000","FOR_SALE","Multi-family home for sale"
"San Pedro","CA","$825,000","FOR_SALE","Townhouse for sale"
"Wilmington","CA","$1,100,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,095,500","FOR_SALE","House for sale"
"Los Angeles","CA","$1,475,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$3,995,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,100,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$765,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,399,999","FOR_SALE","Multi-family home for sale"
"Playa Del Rey","CA","$3,490,000","FOR_SALE","House for sale"
"Venice","CA","$1,599,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,600,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,199,000","FOR_SALE","House for sale"
"Venice","CA","$1,695,000","FOR_SALE","Foreclosure"
"Playa Del Rey","CA","$2,309,900","FOR_SALE","House for sale"
"Venice","CA","$5,945,000","FOR_SALE","New construction"
"Venice","CA","$3,499,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$975,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,499,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,895,000","FOR_SALE","New construction"
"Playa Del Rey","CA","$789,000","FOR_SALE","Condo for sale"
"Venice","CA","$3,795,000","FOR_SALE","House for sale"
"Venice","CA","$1,495,000","FOR_SALE","New construction"
"Playa Del Rey","CA","$4,400,000","FOR_SALE","House for sale"
"Venice","CA","$1,525,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$4,250,000","FOR_SALE","Condo for sale"
"Venice","CA","$5,850,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$5,500,000","FOR_SALE","Multi-family home for sale"
"Playa Vista","CA","$690,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$3,200,000","FOR_SALE","Condo for sale"
